fall;geolocation;id;mass;name;nametype;recclass;reclat;reclong;year
Fell;20.26667,76.01667;5320;8800.0;Chandakapur;Valid;L5;20.26667;76.01667;1838
Fell;27.28333,79.05;5321;1100.0;Chandpur;Valid;L6;27.28333;79.05;1885
Fell;29.08333,111.75;5322;1810.0;Changde;Valid;H5;29.08333;111.75;1977
Fell;46.68333,1.05;5325;31500.0;Chantonnay;Valid;L6;46.68333;1.05;1812
Fell;36.16667,-87.33333;5328;4300.0;Charlotte;Valid;Iron, IVA;36.16667;-87.33333;1835
Fell;47.93333,1.56667;5329;27000.0;Charsonville;Valid;H6;47.93333;1.56667;1810
Fell;29.48333,75.5;5330;12000.0;Charwallas;Valid;H6;29.48333;75.5;1834
Fell;47.71667,5.36667;5331;4000.0;Chassigny;Valid;Martian (chassignite);47.71667;5.36667;1815
Fell;47.93333,2.91667;5332;30000.0;Château-Renard;Valid;L6;47.93333;2.91667;1841
Fell;41.93333,-7.46667;5334;2945.0;Chaves;Valid;Howardite;41.93333;-7.46667;1925
Fell;-3.66667,32.5;5338;2936.0;Chela;Valid;H4;-3.66667;32.5;1988
Fell;54.81667,61.11667;57165;100000.0;Chelyabinsk;Valid;LL5;54.81667;61.11667;2013
Fell;23.69639,-5.01472;47347;100000.0;Chergach ;Valid;H5;23.69639;-5.01472;2007
Fell;53.7,30.1;5339;6000.0;Chernyi Bor;Valid;H4;53.7;30.1;1964
Fell;35.03333,-81.88333;5340;8400.0;Cherokee Springs;Valid;LL6;35.03333;-81.88333;1933
Fell;46.55,6.81667;5341;705.0;Chervettaz;Valid;L5;46.55;6.81667;1901
Fell;50.83333,34.0;5342;1700.0;Chervony Kut;Valid;Eucrite-mmict;50.83333;34.0;1939
Fell;14.5,76.5;5344;72.0;Chetrinahatti;Valid;Stone-uncl;14.5;76.5;1880
Fell;17.9,101.63333;5345;367.0;Chiang Khan;Valid;H6;17.9;101.63333;1981
Fell;40.93333,-79.73333;5349;303.0;Chicora;Valid;LL6;40.93333;-79.73333;1938
Fell;-10.05944,33.395;5355;3920.0;Chisenga;Valid;Iron, IIIAB;-10.05944;33.395;1988
Fell;-17.35,13.96667;5356;;Chitado;Valid;L6;-17.35;13.96667;1966
Fell;47.47083,0.97667;5357;4000.0;Chitenay;Valid;L6;47.47083;0.97667;1978
Fell;-6.95,108.1;5364;1600.0;Cilimus;Valid;L5;-6.95;108.1;1979
Fell;32.1025,-81.87278;5374;1455.0;Claxton;Valid;L6;32.1025;-81.87278;1984
Fell;nan,nan;5383;48.6;Clohars;Valid;L4;;;1822
Fell;44.9,-90.28333;5395;104000.0;Colby (Wisconsin);Valid;L6;44.9;-90.28333;1917
Fell;-33.13333,19.38333;5397;5200.0;Cold Bokkeveld;Valid;CM2;-33.13333;19.38333;1838
Fell;43.76111,-84.50778;5401;469.0;Coleman;Valid;L6;43.76111;-84.50778;1994
Fell;42.53333,12.61667;5403;5000.0;Collescipoli;Valid;H5;42.53333;12.61667;1890
Fell;-19.85,-47.55;5418;20350.0;Conquista;Valid;H4;-19.85;-47.55;1965
Fell;21.16667,-100.86667;5451;1200.0;Cosina;Valid;H5;21.16667;-100.86667;1844
Fell;10.2,76.26667;5465;1460.0;Cranganore;Valid;L6;10.2;76.26667;1917
Fell;35.95,-97.58333;5470;78.4;Crescent;Valid;CM2;35.95;-97.58333;1936
Fell;-27.7,27.3;5474;3650.0;Cronstad;Valid;H5;-27.7;27.3;1877
Fell;35.63333,-78.13333;5476;167.0;Cross Roads;Valid;H5;35.63333;-78.13333;1892
Fell;54.61667,-6.21667;5477;4255.0;Crumlin;Valid;L5;54.61667;-6.21667;1902
Fell;36.83333,-84.35;5496;17000.0;Cumberland Falls;Valid;Aubrite;36.83333;-84.35;1919
Fell;38.4,-84.25;5500;6000.0;Cynthiana;Valid;L/LL4;38.4;-84.25;1877
Fell;35.61667,8.83333;5504;18000.0;Dahmani;Valid;LL6;35.61667;8.83333;1981
Fell;26.91667,83.96667;5511;5650.0;Dandapur;Valid;L6;26.91667;83.96667;1878
Fell;-28.2,24.56667;5513;1064.0;Daniel's Kuil;Valid;EL6;-28.2;24.56667;1868
Fell;34.4,-87.06667;5514;2000.0;Danville;Valid;L6;34.4;-87.06667;1868
Fell;49.86667,8.65;6603;100.0;Darmstadt;Valid;H5;49.86667;8.65;1804
Fell;41.98444,59.685;6604;7000.0;Dashoguz;Valid;H5;41.98444;59.685;1998
Fell;-1.87089,-79.95756;51559;6580.0;Daule;Valid;L5;-1.87089;-79.95756;2008
Fell;43.0,-80.0;6621;340.0;De Cewsville;Valid;H6;43.0;-80.0;1887
Fell;40.25,-74.0;6634;28.0;Deal;Valid;L6;40.25;-74.0;1829
Fell;28.56667,77.25;6642;0.8;Delhi;Valid;L5;28.56667;77.25;1897
Fell;51.46667,84.76667;6649;16400.0;Demina;Valid;L6;51.46667;84.76667;1911
Fell;39.7825,-104.93056;6660;230.0;Denver;Valid;L6;39.7825;-104.93056;1967
Fell;26.68333,93.86667;6664;12500.0;Dergaon;Valid;H5;26.68333;93.86667;2001
Fell;25.73333,73.61667;6693;25400.0;Desuri;Valid;H6;25.73333;73.61667;1962
Fell;19.0,81.0;6694;12000.0;Devgaon;Valid;H3.8;19.0;81.0;2001
Fell;24.225,76.525;6696;1140.0;Devri-Khera;Valid;L6;24.225;76.525;1994
Fell;22.37778,71.42722;6698;45000.0;Dhajala;Valid;H3.8;22.37778;71.42722;1976
Fell;14.88333,75.6;6699;1800.0;Dharwar;Valid;OC;14.88333;75.6;1848
Fell;32.23333,76.46667;7640;32000.0;Dhurmsala;Valid;LL6;32.23333;76.46667;1860
Fell;37.35172,27.32997;47350;3396.0;Didim;Valid;H3-5;37.35172;27.32997;2007
Fell;-33.75,18.56667;7642;1000.0;Diep River;Valid;L6;-33.75;18.56667;1906
Fell;-31.88333,-60.46667;7649;400.0;Distrito Quebracho;Valid;H4;-31.88333;-60.46667;1957
Fell;-7.5,111.5;7652;166000.0;Djati-Pengilon;Valid;H6;-7.5;111.5;1884
